PLMK_XP/+1   0   1 0 0 0 0      2.52   0    0    0    0.0
PLLO_XP/+1   0   1 0 0 0 0      2.92   0    0    0    0.0
PLQU_XP/-1   0   1 0 0 0 0      3.55   0    0    0    0.0
PLLL_XP/+1   0   1 0 0 0 0      3.91   0    0    0    0.0
PLSM_XP/-1   0   1 0 0 0 0      3.83   0    0    0    0.0
PLLA_XP/-1   0   1 0 0 0 0      3.98   0    0    0    0.0
PLTM_XP/+1   0   1 0 0 0 0      4.46   0    0    0    0.0
PLRR_XP/+1   0   1 0 0 0 0      6.15   0    0    0    0.0
PLAR_XP/+1   0   1 0 0 0 0      6.43   0    0    0    0.0
PL03_XP/+1   0   1 0 0 0 0      6.99   0    0    0    0.0
PLSQ_XP/-1   0   1 0 0 0 0      9.16   0    0    0    0.0
