REDNV LL 36.689500 -116.093000 66.596057 153.283415
RPYNV LL 36.851500 -116.456300 41.637590 183.475219
RRKNV LL 36.065700 -115.466000 154.850164 145.964823
SCFNV LL 36.756800 -116.544000 53.084709 191.252141
SGRNV LL 36.980500 -117.032700 60.262966 243.303578
SHPNV LL 36.505500 -115.160200 138.463779 124.889960
SPCNV LL 36.674600 -116.203000 64.390594 161.798590
STCNV LL 37.293900 -116.435800 7.567412 354.756239
STHNV LL 36.645700 -116.337500 64.902325 172.836929
STONV LL 36.860300 -116.474200 40.792397 185.796540
SYMNV LL 36.741600 -116.446000 53.781305 181.712945
TARNV LL 36.868000 -116.632200 43.685942 204.631797
THCNV LL 37.180200 -116.579000 14.336263 249.279676
TIMNV LL 37.066700 -116.469400 18.057712 191.764786
TMONV LL 36.804800 -117.403500 98.597141 241.994421
TNPNV LL 38.082000 -117.217700 117.822961 323.981281
TPWNV LL 36.901600 -116.251900 39.260696 156.436267
TWPNV LL 37.204700 -116.123400 27.139435 94.904805
TYMNV LL 37.144100 -116.720800 27.542335 250.818916
WCTNV LL 36.792800 -116.625700 51.194316 200.161953
WLDNV LL 36.792700 -116.625700 51.204741 200.157697
YCWNV LL 36.922400 -116.475600 33.958075 187.174834
YFTNV LL 37.076200 -115.973500 43.664297 112.242326
ADHNV LL 37.968300 -118.715300 218.140478 292.884109
BENNV LL 37.715500 -118.573300 197.390924 286.626047
CASNV LL 37.574800 -118.551500 191.959694 282.277697
CLKNV LL 37.590700 -118.824200 215.964035 281.528370
DMPNV LL 37.708000 -119.045800 237.671286 283.801251
DOENV LL 37.637500 -118.833300 217.720112 282.837656
FRINV LL 36.991700 -119.708300 292.710431 265.894870
GRPNV LL 37.626500 -118.901300 223.377246 282.227376
GVRNV LL 38.657300 -118.159600 220.007039 316.755352
HCKNV LL 38.075500 -118.592200 212.982637 296.932892
HELNV LL 36.724600 -116.975000 73.948579 221.360452
HTCNV LL 37.529800 -118.771000 210.233089 279.938655
KCCNV LL 37.323600 -119.318700 256.595778 273.294269
LHVNV LL 38.251200 -118.504500 215.508198 302.501386
LMCNV LL 37.728300 -118.945200 229.517180 284.820602
LULNV LL 38.052300 -119.180300 259.642824 291.519899
MCCNV LL 37.919500 -119.024300 241.916356 289.340034
MDPNV LL 37.632300 -119.079000 238.922066 281.682476
MGNNV LL 37.813300 -118.695500 210.777018 288.701738
MKVNV LL 37.664400 -118.975600 230.619985 282.951945
MMCNV LL 38.360800 -119.128300 269.113756 298.727597
MMLNV LL 37.656000 -118.978000 230.645239 282.714462
MMPNV LL 37.610000 -119.028000 234.061580 281.278903
MNANV LL 38.432800 -118.156700 202.730208 311.879958
MPTNV LL 38.062500 -118.775300 227.004776 294.854100
OMMNV LL 37.612400 -118.999400 231.618464 281.449222
ORCNV LL 37.635300 -118.656000 202.353033 283.648130
POWNV LL 38.409500 -118.631800 234.313435 304.768554
PRNNV LL 37.406500 -115.050300 123.752563 80.267147
RCCNV LL 37.487700 -118.721700 205.267753 278.829078
RRCNV LL 37.671700 -118.506300 190.431771 285.685702
RYNNV LL 38.628100 -118.523000 241.121735 310.835145
SCHNV LL 37.365800 -118.687000 200.890653 275.113328
SHLNV LL 37.617500 -118.954200 227.787915 281.762133
SLKNV LL 37.834000 -119.128700 248.058614 286.604505
TUNNV LL 37.353300 -118.563500 189.883166 274.913354
WCKNV LL 37.527800 -118.650700 199.689479 280.329489
WMDNV LL 37.443500 -118.637000 197.239359 277.698591
BEKNV LL 39.866700 -120.358600 450.848440 311.757999
DONNV LL 39.351700 -120.320500 414.233635 305.912123
NENNV LL 35.649500 -114.843300 225.364719 140.442662
PAHNV LL 39.706500 -119.384200 377.285009 317.774576
WAKNV LL 38.504400 -119.437200 300.387718 299.103674
WCNNV LL 39.301700 -119.756300 371.344083 309.365769
WVANV LL 39.944500 -119.824000 422.566576 316.612267
YERNV LL 38.984500 -119.240700 314.545023 309.213511
NEL LL 35.710000 -114.840000 220.350543 139.292363
GSC LL 35.301700 -116.804600 216.192440 189.117771
GSC LL 35.301800 -116.805700 216.196971 189.144426
ISA LL 35.662800 -118.474000 252.450335 227.211914
NEE LL 34.824800 -114.599400 313.277557 147.716680
SRU LL 39.110800 -110.523800 557.947193 66.176584
WUAZ LL 35.516900 -111.373900 491.516153 111.178863
BKS BK 37.876220 -122.235580 518.061069 279.769673
CMB BK 38.034550 -120.386510 360.645350 285.610011
MHC BK 37.341640 -121.642570 462.457362 273.168759
SAO BK 36.764030 -121.447220 449.587046 264.967531
STAN BK 37.403930 -122.175080 509.654464 273.960910
