IU_WCI/-1    140 1 1 1 1 1   21.0 0 0 0 0
NM_SIUC/-1   140 1 1 1 1 1   21.3 0 0 0 0 
NM_BLO/-1    145 1 1 1 1 1   22.0 0 0 0 0 
NM_SLM/-1    205 1 1 1 1 1   30.8 0 0 0 0
NM_FVM/-1    230 1 1 1 1 1   33.8 0 0 0 0
IU_WVT/+1    260 1 1 1 1 1   36.8 0 0 0 0
NM_PVMO/+1   275 1 1 1 1 1   40.6 0 0 0 0
IU_CCM/-1    295 1 1 1 1 1   42.9 0 0 0 0
NM_MPH    410 0 0 0 0 0   57.9 0 0 0 0
